"Country","Count","Academic","Civil Society","Technical","Industry","Government"
"Algeria","Members",0,0,0,0,1
"Algeria","Years",0,0,0,0,2
"Antigua and Barbuda","Members",0,0,0,0,1
"Antigua and Barbuda","Years",0,0,0,0,3
"Argentina","Members",1,0,0,2,2
"Argentina","Years",3,0,0,4,9
"Australia","Members",0,0,0,3,2
"Australia","Years",0,0,0,12,5
"Austria","Members",0,0,0,0,1
"Austria","Years",0,0,0,0,1
"Azerbaijan","Members",0,0,0,0,1
"Azerbaijan","Years",0,0,0,0,6
"Bangladesh","Members",0,0,0,1,1
"Bangladesh","Years",0,0,0,2,2
"Barbados","Members",0,0,0,0,1
"Barbados","Years",0,0,0,0,4
"Belarus","Members",0,1,0,0,0
"Belarus","Years",0,1,0,0,0
"Belgium","Members",0,0,0,2,2
"Belgium","Years",0,0,0,6,3
"Benin","Members",0,0,0,0,1
"Benin","Years",0,0,0,0,3
"Bosnia & Herzegovina","Members",0,1,0,0,0
"Bosnia & Herzegovina","Years",0,1,0,0,0
"Brazil","Members",0,2,0,1,7
"Brazil","Years",0,7,0,2,9
"Bulgaria","Members",0,0,0,0,1
"Bulgaria","Years",0,0,0,0,1
"Burundi","Members",0,1,0,0,0
"Burundi","Years",0,1,0,0,0
"Canada","Members",0,0,0,1,1
"Canada","Years",0,0,0,6,5
"Chile","Members",0,0,0,0,1
"Chile","Years",0,0,0,0,5
"China","Members",1,0,0,2,5
"China","Years",2,0,0,3,11
"Colombia","Members",0,0,0,1,0
"Colombia","Years",0,0,0,3,0
"Costa Rica","Members",0,0,0,0,1
"Costa Rica","Years",0,0,0,0,3
"Cuba","Members",0,0,0,0,1
"Cuba","Years",0,0,0,0,1
"Czech Republic","Members",0,0,0,1,0
"Czech Republic","Years",0,0,0,7,0
"Denmark","Members",1,0,1,0,0
"Denmark","Years",2,0,2,0,0
"Ecuador","Members",1,1,0,0,0
"Ecuador","Years",2,5,0,0,0
"Egypt","Members",0,0,0,3,1
"Egypt","Years",0,0,0,7,5
"El Salvador","Members",0,0,0,0,0
"El Salvador","Years",0,0,0,0,0
"Fiji","Members",0,0,0,0,1
"Fiji","Years",0,0,0,0,3
"Finland","Members",0,0,0,2,2
"Finland","Years",0,0,0,4,3
"France","Members",0,1,1,2,1
"France","Years",0,2,4,10,2
"Germany","Members",1,0,0,1,0
"Germany","Years",6,0,0,2,0
"Ghana","Members",0,0,0,1,1
"Ghana","Years",0,0,0,8,4
"Greece","Members",0,0,0,0,1
"Greece","Years",0,0,0,0,6
"Hong Kong","Members",0,0,0,2,0
"Hong Kong","Years",0,0,0,5,0
"Hungary","Members",0,0,0,0,2
"Hungary","Years",0,0,0,0,5
"India","Members",1,1,0,3,3
"India","Years",3,2,0,7,11
"Indonesia","Members",0,1,0,0,1
"Indonesia","Years",0,1,0,0,6
"Iran","Members",0,1,0,0,1
"Iran","Years",0,3,0,0,4
"Ivory Coast","Members",0,0,0,0,1
"Ivory Coast","Years",0,0,0,0,2
"Jamaica","Members",0,0,0,0,1
"Jamaica","Years",0,0,0,0,3
"Japan","Members",2,0,0,2,0
"Japan","Years",5,0,0,9,0
"Kenya","Members",0,2,1,1,1
"Kenya","Years",0,4,2,2,6
"Kazakhastan","Members",0,0,0,0,1
"Kazakhastan","Years",0,0,0,0,2
"Korea","Members",0,0,0,0,1
"Korea","Years",0,0,0,0,2
"Latvia","Members",0,0,0,0,1
"Latvia","Years",0,0,0,0,6
"Lithuania","Members",0,0,1,0,1
"Lithuania","Years",0,0,3,0,2
"Macedonia","Members",0,0,0,0,1
"Macedonia","Years",0,0,0,0,2
"Malaysia","Members",0,1,0,0,0
"Malaysia","Years",0,1,0,0,0
"Mauritius","Members",0,0,0,2,1
"Mauritius","Years",0,0,0,5,1
"Mexico","Members",1,0,0,0,1
"Mexico","Years",4,0,0,0,2
"Moldova","Members",1,0,0,0,1
"Moldova","Years",1,0,0,0,2
"Morocco","Members",1,0,0,0,0
"Morocco","Years",5,0,0,0,0
"Netherlands","Members",1,0,0,1,0
"Netherlands","Years",4,0,0,1,0
"New Zealand","Members",0,0,1,1,2
"New Zealand","Years",0,0,1,1,3
"Nigeria","Members",0,1,0,4,3
"Nigeria","Years",0,1,0,6,4
"Pakistan","Members",0,1,0,1,2
"Pakistan","Years",0,2,0,5,3
"Peru","Members",0,0,0,1,0
"Peru","Years",0,0,0,2,0
"Poland","Members",0,0,0,1,1
"Poland","Years",0,0,0,1,2
"Portugal","Members",0,0,0,0,2
"Portugal","Years",0,0,0,0,5
"Russia","Members",0,0,0,0,7
"Russia","Years",0,0,0,0,12
"Saudi Arabia","Members",0,0,0,0,1
"Saudi Arabia","Years",0,0,0,0,4
"Senegal","Members",0,0,0,0,1
"Senegal","Years",0,0,0,0,6
"Serbia","Members",0,1,0,1,0
"Serbia","Years",0,3,0,1,0
"Singapore","Members",0,0,0,0,1
"Singapore","Years",0,0,0,0,1
"Slovakia","Members",0,0,0,1,0
"Slovakia","Years",0,0,0,1,0
"South Africa","Members",0,3,0,1,0
"South Africa","Years",0,8,0,2,0
"Spain","Members",0,0,0,0,1
"Spain","Years",0,0,0,0,2
"Sri Lanka","Members",0,0,0,0,1
"Sri Lanka","Years",0,0,0,0,1
"Suriname","Members",0,0,0,0,1
"Suriname","Years",0,0,0,0,3
"Sweden","Members",0,0,0,2,1
"Sweden","Years",0,0,0,7,2
"Switzerland","Members",1,1,1,1,2
"Switzerland","Years",3,2,4,2,5
"Trinand and Tobago","Members",0,0,0,0,1
"Trinand and Tobago","Years",0,0,0,0,1
"UAE","Members",0,0,1,1,0
"UAE","Years",0,0,8,2,0
"Uganda","Members",0,0,1,1,0
"Uganda","Years",0,0,3,2,0
"UK","Members",0,2,1,3,1
"UK","Years",0,3,2,11,4
"Ukraine","Members",0,1,0,0,0
"Ukraine","Years",0,1,0,0,0
"Uruguay","Members",0,0,0,1,0
"Uruguay","Years",0,0,0,8,0
"USA","Members",0,5,2,11,1
"USA","Years",0,11,4,31,3
"Venezuala","Members",0,1,0,0,0
"Venezuala","Years",0,1,0,0,0
"Zimbabwe","Members",0,0,0,0,1
"Zimbabwe","Years",0,0,0,0,2